news,label
Residents access to the block is planned to be from Aleksandri Street .,1
"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",1
"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",0
"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",1
The winners included the Honda Odyssey for minivan and the Nissan Armada for large SUV .,1
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",0
The company also said that it will sell approximately 150 hectares of land to the city of Valkeakoski by the end of the year a part of its `` From job to job '' program .,1
Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,0
Efore has decided to establish a company for eletric vehicle ( EV ) business in China .,1
Diluted loss per share stood at EUR 0.15 versus EUR 0.26 .,2
Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,2
The contract value amounts to EUR 2.4 million .,1
"It would be premature to talk about dates , volume and the investment procedure , '' he said .",1
YIT Kausta will build commercial and residential highrises in Virsuliskes area .,1
"Proving that good cellphone design is truly a work of art , the website for the Nokia 6131 provides a colorful canvas for the expression of mobile-inspired sentiments .",2
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,1
The new shares will provide the shareholders with full shareholder rights .,1
"Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads , bridges , airports and shops are being built .",1
"Vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said Olli Teva , marketing director renewable energy applications .",1
"A replay will be available until 27 October 2006 in the following numbers : US callers : +1 617-á801-á6888 , non-US callers : +44 20 7365 8427 , access code : 2659 5401 .",1
"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",1
